2023-10-03 20:14:11 INFO     root city_data Extracting html data from Gdynia, Poland page 4
2023-10-03 20:14:13 INFO     root city_data Extracting html data from Gdynia, Poland page 5
2023-10-03 20:14:15 INFO     root city_data Extracting html data from Gdynia, Poland page 6
2023-10-03 20:14:17 INFO     root city_data Extracting html data from Gdynia, Poland page 7
2023-10-03 20:14:19 INFO     root city_data Extracting html data from Gdynia, Poland page 8
2023-10-03 20:14:21 INFO     root city_data Extracting html data from Gdynia, Poland page 9
2023-10-03 20:14:23 INFO     root city_data Extracting html data from Gdynia, Poland page 10
2023-10-03 20:14:25 INFO     root city_data Extracting html data from Gdynia, Poland page 11
2023-10-03 20:14:27 INFO     root city_data Extracting html data from Gdynia, Poland page 12
2023-10-03 20:14:29 INFO     root city_data Extracting html data from Gdynia, Poland page 13
2023-10-03 20:14:31 INFO     root city_data Extracting html data from Gdynia, Poland page 14
2023-10-03 20:14:33 INFO     root city_data Extracting html data from Gdynia, Poland page 15
2023-10-03 20:14:44 WARNING  root city_data Last page reached for Gdynia, Poland.
2023-10-03 20:14:47 INFO     root city_data Extracting html data from Sosnowiec, Poland page 1
2023-10-03 20:14:50 INFO     root city_data Extracting html data from Sosnowiec, Poland page 2
2023-10-03 20:14:51 INFO     root city_data Extracting html data from Sosnowiec, Poland page 3
2023-10-03 20:14:53 INFO     root city_data Extracting html data from Sosnowiec, Poland page 4
2023-10-03 20:14:55 INFO     root city_data Extracting html data from Sosnowiec, Poland page 5
2023-10-03 20:14:57 INFO     root city_data Extracting html data from Sosnowiec, Poland page 6
2023-10-03 20:15:01 INFO     root city_data Extracting html data from Sosnowiec, Poland page 7
2023-10-03 20:15:03 INFO     root city_data Extracting html data from Sosnowiec, Poland page 8
2023-10-03 20:15:06 INFO     root city_data Extracting html data from Sosnowiec, Poland page 9
2023-10-03 20:15:08 INFO     root city_data Extracting html data from Sosnowiec, Poland page 10
2023-10-03 20:15:10 INFO     root city_data Extracting html data from Sosnowiec, Poland page 11
2023-10-03 20:15:12 INFO     root city_data Extracting html data from Sosnowiec, Poland page 12
2023-10-03 20:15:15 INFO     root city_data Extracting html data from Sosnowiec, Poland page 13
2023-10-03 20:15:16 INFO     root city_data Extracting html data from Sosnowiec, Poland page 14
2023-10-03 20:15:18 INFO     root city_data Extracting html data from Sosnowiec, Poland page 15
2023-10-03 20:15:30 WARNING  root city_data Last page reached for Sosnowiec, Poland.
2023-10-03 20:16:08 INFO     root extract_data Processing data: tranforming and loading ...
2023-10-03 20:16:26 INFO     root extract_data Files for 2023-10-03 saved.
