city,date,title,subtitle,price_per_night (zl),original_price (zl),availability,total_price (zl),beds,star,number_of_ratings
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,New_Life Apartment Next to Metro Station,260,330,Aug 23 - 28,"1,297",1 double bed,4.92,157
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Atmospheric duplex 100m2,406,406,Aug 20 - 25,"2,030",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Centrum Warszawa,187,207,Sep 7 - 12,933,1 bed,4.71,141
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Cozy studio in the center,203,222,Aug 30 - Sep 6,"1,420",1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Stylish Warsaw City View Apartment 4 Guests Wola,311,311,Aug 19 - 24,"1,555",2 beds,5.0,3
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Apartment near Old Town,249,320,Aug 20 - 25,"1,243",2 double beds,4.83,6
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Comfy open-space apartment in Warsaw Zoliborz,212,212,Sep 24 - 29,"1,056",1 bed,4.89,547
"Warsaw, Poland",2023-08-19,Room in Warszawa,Old Town#2,247,247,Aug 27 - Sep 1,"1,232",1 bed,4.64,58
"Warsaw, Poland",2023-08-19,Apartment in Warsaw,Luxury Apartament 5 min to Old Town,365,783,Aug 20 - 25,"1,823",2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-08-19,Apartment in Warszawa,Cozy apartment in the heart of Old Zoliborz,310,346,Aug 27 - Sep 3,"2,169",2 beds,4.95,66
"Warsaw, Poland",2023-08-19,Boutique hotel in Wilanow,Platinum Hotel & Residence Wilanow Classic Twin,245,313,Aug 20 - 25,"1,225",2 beds,4.67,21
"Warsaw, Poland",2023-08-19,Room in Bialoleka,Willa u Moniki Pokoj z balkonem Bialolecka street,95,105,Aug 19 - 24,473,2 beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-08-19,Apartment in Wola,'Sienna' Fryderyk Apartment,252,558,Aug 27 - Sep 1,"1,256",2 beds,4.66,92
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Studio apartment close to center,222,222,Aug 28 - Sep 2,"1,106",1 double bed,4.97,175
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Cheerful studio in Stary Mokotova,252,315,Aug 19 - 24,"1,256",1 sofa bed,5.0,7
"Warsaw, Poland",2023-08-19,Apartment in Wola,'Cool' Fryderyk Apartment,240,240,Aug 27 - Sep 1,"1,196",1 sofa bed,4.68,108
"Warsaw, Poland",2023-08-19,Room in Bielany,Spacious room with balcony,128,177,Aug 19 - 24,640,1 sofa bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Polna 3 Warsaw Central Studio,257,257,Aug 27 - Sep 1,"1,282",1 bed,4.88,16
"Warsaw, Poland",2023-08-19,Apartment in Ursynow,Airport Residence Green 24h/ FV ,266,266,Aug 29 - Sep 3,"1,326",1 double bed,4.92,376
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Przytulna kawalerka/studio w sercu Warszawy,219,219,Sep 2 - 7,"1,091",1 double bed,4.66,86
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Loft - River view - Co-working,278,278,Aug 21 - 28,"1,942",1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,"Top floor, cozy studio in the city center Bracka",301,348,Aug 20 - 25,"1,502",1 bed,4.97,37
"Warsaw, Poland",2023-08-19,Room in Mokotow,Chernihiv BOHO charming room with tv,139,139,Aug 29 - Sep 3,692,1 bed,4.95,21
"Warsaw, Poland",2023-08-19,Apartment in Bialoleka,Two-room on the ground floor of Tarchominium,253,253,Aug 19 - 24,"1,262",2 double beds,4.82,78
"Warsaw, Poland",2023-08-19,Apartment in Ochota,Warsaw Ochota Comfort Apartments by Rentujemy,266,321,Aug 19 - 24,"1,330",1 bed,4.44,9
"Warsaw, Poland",2023-08-19,Apartment in Ochota,emeraldGREENliving *central/minimalist/work-life*,336,336,Aug 19 - 24,"1,678",2 beds,5.0,23
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Old town-Blue,185,212,Aug 20 - 25,921,1 sofa bed,4.67,3
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Walowa Warsaw Centre | 1 km from the Old Town 4/90,299,299,Aug 19 - 24,"1,495",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Zoliborz,Zoliborz Lemon Apartment,242,242,Aug 27 - Sep 1,"1,208",4 beds,4.63,16
"Warsaw, Poland",2023-08-19,Apartment in Wola,""" NIGHT OF the Lego"" in CENTRoom""",156,180,Aug 27 - Sep 1,780,1 bed,4.35,91
"Warsaw, Poland",2023-08-19,Loft in Praga Poludnie,Beautiful Studio in Warsaw close to Vistula River.,310,310,Aug 27 - Sep 1,"1,549",2 beds,4.94,234
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Fryderyk Apartment 'Paulis',226,453,Aug 27 - Sep 1,"1,127",2 beds,4.68,22
"Warsaw, Poland",2023-08-19,Room in Bielany,Peace & cozy apartment home,174,174,Aug 27 - Sep 3,"1,216",2 beds,5.0,5
"Warsaw, Poland",2023-08-19,Apartment in Praga Poludnie,Cozy & Bright Studio Zupnicza | Parking |,272,272,Aug 19 - 24,"1,358",1 sofa bed,New,New
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic Apartments - Room NS3 - 2,118,118,Aug 27 - Sep 1,589,1 sofa bed,4.47,217
"Warsaw, Poland",2023-08-19,Guesthouse in Wlochy,Comfy room #8 Warsaw,127,139,Sep 10 - 15,634,1 bed,4.61,28
"Warsaw, Poland",2023-08-19,Room in Bialoleka,Villa u Monika Room 20.5 m2 close to metro,102,121,Aug 19 - 26,714,1 bed,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Apartment Stegny Mokotow,364,364,Aug 19 - 25,"2,183",1 double bed,4.98,83
"Warsaw, Poland",2023-08-19,Apartment in Bialoleka,"Entire apartment, 2 rooms. Ozonated! Mochtynska",215,215,Sep 2 - 7,"1,074",2 beds,5.0,10
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,'Miacinska' Fryderyk Apartment,235,350,Aug 27 - Sep 1,"1,174",2 beds,4.25,83
"Warsaw, Poland",2023-08-19,Room in Praga Poludnie,"Fryderyk Room ""Stany 5""",151,151,Aug 28 - Sep 2,751,2 beds,4.8,5
"Warsaw, Poland",2023-08-19,Apartment in Ursus,Ursus Charming Apartment,238,279,Aug 19 - 25,"1,428",2 beds,5.0,5
"Warsaw, Poland",2023-08-19,Place to stay in Wola,Single room in platinum Towers,212,212,Aug 20 - 25,"1,056",1 bed,New,New
"Warsaw, Poland",2023-08-19,Apartment in Zoliborz,Wilson Apartment,279,279,Aug 28 - Sep 2,"1,394",1 king bed,4.85,55
"Warsaw, Poland",2023-08-19,Apartment in Stara Praga,Vistula Loft Blue Apartment,336,336,Aug 19 - 25,"2,014",2 beds,4.89,9
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,43 m2 C. center  W.Kosciuszkowskie,244,336,Aug 28 - Sep 2,"1,216",1 bed,4.33,21
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,Good Apartments - Batorego 220,200,200,Aug 20 - 26,"1,200",1 sofa bed,4.63,30
"Warsaw, Poland",2023-08-19,Apartment in Praga Polnoc,COSY flat WIFI good localitation Volominska,220,265,Aug 27 - Sep 1,"1,099",1 bed,4.1,10
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Central - 2 Bedroom - Co-working,446,446,Aug 20 - 27,"3,122",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Cozy studio at Podwale str. Warsaw Old town.,212,252,Aug 27 - Sep 1,"1,056",1 sofa bed,4.43,63
"Warsaw, Poland",2023-08-19,Guest suite in Praga Poludnie,(3) Cozy apartment in Warsaw,176,176,Sep 8 - 13,879,2 queen beds,4.56,340
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Comfortable room next to metro Ratusz Arsenal,117,133,Aug 19 - 24,581,2 queen beds,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'text'
"Warsaw, Poland",2023-08-19,Apartment in Praga Poludnie,Prudentia Apartments Chrzanowski,222,222,Aug 19 - 24,"1,110",1 bed,4.58,26
"Warsaw, Poland",2023-08-19,Apartment in Wola,Apartment Gray in Vidoc Apartments in Central Mirow District,554,554,Aug 28 - Sep 2,"2,770",2 beds,4.81,119
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Magical Studio / Old Town / River View,433,433,Sep 10 - 15,"2,161",2 beds,4.86,407
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Chmielna Downtown Apartments by Rentujemy,357,514,Aug 19 - 24,"1,782",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Apartment Widok Warsaw Center,372,415,Aug 29 - Sep 3,"1,859",1 king bed,4.9,71
"Warsaw, Poland",2023-08-19,Apartment in Wlochy,Comfortable flat in Ochota,212,212,Aug 20 - 25,"1,056",2 beds,5.0,14
"Warsaw, Poland",2023-08-19,Apartment in Wlochy,Modern III Warsaw Apartments,208,208,Aug 20 - 25,"1,036",1 bed,5.0,5
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic Apartments - Room NS13 - 3,122,122,Aug 20 - 25,610,1 bed,4.58,74
"Warsaw, Poland",2023-08-19,Apartment in Srodmiescia,Industrial 9th Floor Central Flat w/ Balcony,298,298,Sep 17 - 22,"1,487",1 double bed,4.67,102
"Warsaw, Poland",2023-08-19,Apartment in Stara Praga,Sierakowskiego 4/198,306,306,Aug 19 - 24,"1,526",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Wola,Zelazna Blue Corner Studio,248,248,Aug 19 - 24,"1,238",1 sofa bed,4.4,10
"Warsaw, Poland",2023-08-19,Apartment in Wola,Warsaw Downtown Atmospheric Apt / metro ONZ / Zelazna street,406,622,Aug 20 - 25,"2,027",2 beds,4.33,6
"Warsaw, Poland",2023-08-19,Apartment in Praga Poludnie,"Charming apartment above Balaton, free parking",171,186,Aug 27 - Sep 1,854,2 beds,4.64,22
"Warsaw, Poland",2023-08-19,Apartment in Mokotow,PREMIUM STUDIOApartment Crafted for Business,293,293,Aug 19 - 24,"1,461",1 double bed,4.86,77
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - NS42 Room H,130,130,Aug 20 - 25,650,1 double bed,4.95,21
"Warsaw, Poland",2023-08-19,Room in Srodmiescia,Fantastic - Room M3 - 4,142,142,Aug 21 - 26,708,1 double bed,4.8,59
"Warsaw, Poland",2023-08-19,Apartment in Stara Praga,Stylish Apartment in Modern Building- Old Town,234,296,Aug 19 - 24,"1,169",2 beds,New,New
"Warsaw, Poland",2023-08-19,Apartment in Ursynow,"A modern, chic studio, 5 mins from a metro station",203,203,Sep 5 - 10,"1,012",2 beds,4.88,80
